Variable_name;Long_definition;Type;Basic_set;Socio_set;Extended_set;Geographical_attribute;Bin_size
Age;;int;True;True;True;False;15
Sex;;binary;True;True;True;False;1
Diploma;;category;True;True;True;False;1
Marital;;category;False;True;True;False;1
Cohabitation;;binary;False;False;True;False;1
Employment;;category;False;False;True;False;1
Socioprofessional;;category;False;True;True;False;1
Activity;;category;False;True;True;False;1
Hours;;category;False;False;True;False;1
Transport;;category;False;False;True;False;1
ReferenceLink;;category;False;False;True;False;1
FamilyLink;;category;False;False;True;False;1
HouseholdSize;;int;True;True;True;False;1
nChildren;;int;False;False;True;False;1
nRooms;;int;False;False;True;False;1
Surface;;int;False;False;True;False;1
Parking;;binary;False;False;True;False;1
nCars;;int;False;True;True;False;1
Accommodation;;category;False;True;True;False;1
Household;;category;False;True;True;False;1
Occupancy;;category;False;False;True;False;1
Department;;category;True;False;False;True;1
County;;category;False;True;False;True;1
City;;category;False;False;False;True;1
TRIRIS;;category;False;False;True;True;1
IRIS;;category;False;False;False;True;1
